Walmart,12
Exxon Mobil,11
Apple,6
Berkshire Hathaway,6
Amazon.com,7
UnitedHealth Group,7
McKesson,7
CVS Health,8
AT&T,7
AmerisourceBergen,10
Chevron,10
Ford Motor,15
General Motors,12
Costco Wholesale,7
Alphabet,10
Cardinal Health,9
Walgreens Boots Alliance,7
JPMorgan Chase,13
Verizon Communications,2
Kroger,6
General Electric,6
Fannie Mae,4
Phillips 66,5
Valero Energy,4
Bank of America,18
Microsoft,6
Home Depot,4
Boeing,12
Wells Fargo,14
Citigroup,6
Marathon Petroleum,4
Comcast,5
Anthem,6
Dell Technologies,7
DuPont de Nemours,4
State Farm Insurance,18
Johnson & Johnson,7
IBM,6
Target,9
Freddie Mac,5
United Parcel Service,7
Lowe's,4
Intel,9
MetLife,8
Procter & Gamble,2
United Technologies,11
FedEx,6
PepsiCo,8
Archer Daniels Midland,10
Prudential Financial,5
Centene,9
Albertsons,14
Walt Disney,10
Sysco,3
HP,13
Humana,3
Facebook,9
Caterpillar,3
Energy Transfer,12
Lockheed Martin,5
Pfizer,3
Goldman Sachs Group,17
Morgan Stanley,11
Cisco Systems,6
Cigna,13
AIG,4
HCA Healthcare,9
American Airlines Group,11
Delta Air Lines,3
Charter Communications,2
New York Life Insurance,9
American Express,11
Nationwide,7
Best Buy,17
Liberty Mutual Insurance Group,13
Merck,12
Honeywell International,3
United Continental Holdings,2
TIAA,8
Tyson Foods,3
Oracle,7
Allstate,4
World Fuel Services,6
Massachusetts Mutual Life Insurance,13
TJX,13
ConocoPhillips,5
Deere,9
Tech Data,6
Enterprise Products Partners,3
Nike,6
Publix Super Markets,9
General Dynamics,3
Exelon,6
Plains GP Holdings,10
3M,5
AbbVie,12
CHS,9
Capital One Financial,5
Progressive,7
Coca-Cola,10
