Walmart,80
Exxon Mobil,100
Apple,56
Berkshire Hathaway,85
Amazon.com,64
UnitedHealth Group,75
McKesson,60
CVS Health,55
AT&T,57
AmerisourceBergen,71
Chevron,79
Ford Motor,89
General Motors,86
Costco Wholesale,50
Alphabet,62
Cardinal Health,97
Walgreens Boots Alliance,66
JPMorgan Chase,86
Verizon Communications,54
Kroger,85
General Electric,53
Fannie Mae,70
Phillips 66,97
Valero Energy,96
Bank of America,98
Microsoft,55
Home Depot,77
Boeing,81
Wells Fargo,98
Citigroup,55
Marathon Petroleum,93
Comcast,99
Anthem,74
Dell Technologies,91
DuPont de Nemours,52
State Farm Insurance,97
Johnson & Johnson,59
IBM,71
Target,79
Freddie Mac,53
United Parcel Service,72
Lowe's,70
Intel,68
MetLife,70
Procter & Gamble,58
United Technologies,75
FedEx,50
PepsiCo,92
Archer Daniels Midland,69
Prudential Financial,50
Centene,97
Albertsons,87
Walt Disney,55
Sysco,67
HP,93
Humana,55
Facebook,75
Caterpillar,52
Energy Transfer,90
Lockheed Martin,97
Pfizer,60
Goldman Sachs Group,90
Morgan Stanley,85
Cisco Systems,72
Cigna,85
AIG,83
HCA Healthcare,94
American Airlines Group,89
Delta Air Lines,59
Charter Communications,55
New York Life Insurance,51
American Express,65
Nationwide,80
Best Buy,92
Liberty Mutual Insurance Group,99
Merck,67
Honeywell International,55
United Continental Holdings,54
TIAA,50
Tyson Foods,60
Oracle,71
Allstate,69
World Fuel Services,53
Massachusetts Mutual Life Insurance,93
TJX,73
ConocoPhillips,51
Deere,85
Tech Data,77
Enterprise Products Partners,60
Nike,56
Publix Super Markets,60
General Dynamics,61
Exelon,67
Plains GP Holdings,93
3M,71
AbbVie,99
CHS,75
Capital One Financial,97
Progressive,94
Coca-Cola,69
