Walmart,5
Exxon Mobil,7
Apple,9
Berkshire Hathaway,6
Amazon.com,16
UnitedHealth Group,4
McKesson,14
CVS Health,16
AT&T,9
AmerisourceBergen,10
Chevron,8
Ford Motor,7
General Motors,8
Costco Wholesale,6
Alphabet,9
Cardinal Health,13
Walgreens Boots Alliance,8
JPMorgan Chase,16
Verizon Communications,6
Kroger,7
General Electric,7
Fannie Mae,12
Phillips 66,8
Valero Energy,3
Bank of America,14
Microsoft,7
Home Depot,6
Boeing,8
Wells Fargo,5
Citigroup,7
Marathon Petroleum,11
Comcast,7
Anthem,8
Dell Technologies,15
DuPont de Nemours,10
State Farm Insurance,13
Johnson & Johnson,7
IBM,15
Target,9
Freddie Mac,12
United Parcel Service,11
Lowe's,6
Intel,4
MetLife,3
Procter & Gamble,6
United Technologies,10
FedEx,9
PepsiCo,3
Archer Daniels Midland,10
Prudential Financial,6
Centene,13
Albertsons,10
Walt Disney,4
Sysco,5
HP,8
Humana,5
Facebook,12
Caterpillar,9
Energy Transfer,4
Lockheed Martin,14
Pfizer,10
Goldman Sachs Group,17
Morgan Stanley,9
Cisco Systems,12
Cigna,11
AIG,10
HCA Healthcare,10
American Airlines Group,3
Delta Air Lines,10
Charter Communications,9
New York Life Insurance,13
American Express,6
Nationwide,9
Best Buy,9
Liberty Mutual Insurance Group,4
Merck,2
Honeywell International,4
United Continental Holdings,7
TIAA,3
Tyson Foods,3
Oracle,4
Allstate,4
World Fuel Services,4
Massachusetts Mutual Life Insurance,7
TJX,9
ConocoPhillips,9
Deere,14
Tech Data,2
Enterprise Products Partners,9
Nike,11
Publix Super Markets,4
General Dynamics,4
Exelon,7
Plains GP Holdings,7
3M,4
AbbVie,10
CHS,5
Capital One Financial,6
Progressive,9
Coca-Cola,10
