Walmart,87
Exxon Mobil,65
Apple,80
Berkshire Hathaway,66
Amazon.com,63
UnitedHealth Group,89
McKesson,92
CVS Health,73
AT&T,50
AmerisourceBergen,55
Chevron,87
Ford Motor,53
General Motors,94
Costco Wholesale,69
Alphabet,95
Cardinal Health,85
Walgreens Boots Alliance,77
JPMorgan Chase,94
Verizon Communications,93
Kroger,66
General Electric,58
Fannie Mae,100
Phillips 66,92
Valero Energy,97
Bank of America,54
Microsoft,96
Home Depot,50
Boeing,63
Wells Fargo,77
Citigroup,61
Marathon Petroleum,91
Comcast,55
Anthem,64
Dell Technologies,88
DuPont de Nemours,91
State Farm Insurance,54
Johnson & Johnson,88
IBM,100
Target,66
Freddie Mac,54
United Parcel Service,80
Lowe's,61
Intel,91
MetLife,60
Procter & Gamble,77
United Technologies,80
FedEx,54
PepsiCo,99
Archer Daniels Midland,54
Prudential Financial,56
Centene,88
Albertsons,59
Walt Disney,100
Sysco,63
HP,97
Humana,99
Facebook,67
Caterpillar,66
Energy Transfer,73
Lockheed Martin,74
Pfizer,100
Goldman Sachs Group,98
Morgan Stanley,64
Cisco Systems,98
Cigna,78
AIG,55
HCA Healthcare,92
American Airlines Group,67
Delta Air Lines,65
Charter Communications,95
New York Life Insurance,62
American Express,51
Nationwide,78
Best Buy,62
Liberty Mutual Insurance Group,77
Merck,91
Honeywell International,67
United Continental Holdings,91
TIAA,62
Tyson Foods,50
Oracle,100
Allstate,52
World Fuel Services,83
Massachusetts Mutual Life Insurance,65
TJX,51
ConocoPhillips,68
Deere,54
Tech Data,80
Enterprise Products Partners,51
Nike,61
Publix Super Markets,95
General Dynamics,88
Exelon,69
Plains GP Holdings,93
3M,98
AbbVie,58
CHS,50
Capital One Financial,61
Progressive,77
Coca-Cola,78
