Walmart,7
Exxon Mobil,6
Apple,7
Berkshire Hathaway,5
Amazon.com,5
UnitedHealth Group,12
McKesson,15
CVS Health,5
AT&T,4
AmerisourceBergen,4
Chevron,16
Ford Motor,3
General Motors,4
Costco Wholesale,9
Alphabet,4
Cardinal Health,15
Walgreens Boots Alliance,5
JPMorgan Chase,11
Verizon Communications,13
Kroger,3
General Electric,3
Fannie Mae,18
Phillips 66,4
Valero Energy,4
Bank of America,4
Microsoft,7
Home Depot,6
Boeing,10
Wells Fargo,6
Citigroup,7
Marathon Petroleum,9
Comcast,6
Anthem,7
Dell Technologies,8
DuPont de Nemours,16
State Farm Insurance,3
Johnson & Johnson,10
IBM,14
Target,5
Freddie Mac,3
United Parcel Service,14
Lowe's,4
Intel,8
MetLife,9
Procter & Gamble,6
United Technologies,15
FedEx,5
PepsiCo,4
Archer Daniels Midland,5
Prudential Financial,5
Centene,6
Albertsons,3
Walt Disney,7
Sysco,6
HP,17
Humana,6
Facebook,8
Caterpillar,10
Energy Transfer,9
Lockheed Martin,3
Pfizer,19
Goldman Sachs Group,15
Morgan Stanley,10
Cisco Systems,14
Cigna,4
AIG,7
HCA Healthcare,6
American Airlines Group,4
Delta Air Lines,10
Charter Communications,16
New York Life Insurance,8
American Express,3
Nationwide,7
Best Buy,6
Liberty Mutual Insurance Group,13
Merck,10
Honeywell International,10
United Continental Holdings,6
TIAA,11
Tyson Foods,5
Oracle,9
Allstate,9
World Fuel Services,11
Massachusetts Mutual Life Insurance,11
TJX,5
ConocoPhillips,9
Deere,4
Tech Data,11
Enterprise Products Partners,3
Nike,7
Publix Super Markets,14
General Dynamics,11
Exelon,7
Plains GP Holdings,10
3M,10
AbbVie,4
CHS,3
Capital One Financial,3
Progressive,4
Coca-Cola,11
