Walmart,0
Exxon Mobil,0
Apple,0
Berkshire Hathaway,0
Amazon.com,0
UnitedHealth Group,0
McKesson,0
CVS Health,0
AT&T,0
AmerisourceBergen,0
Chevron,0
Ford Motor,0
General Motors,0
Costco Wholesale,0
Alphabet,0
Cardinal Health,0
Walgreens Boots Alliance,0
JPMorgan Chase,0
Verizon Communications,0
Kroger,0
General Electric,0
Fannie Mae,0
Phillips 66,0
Valero Energy,0
Bank of America,0
Microsoft,0
Home Depot,0
Boeing,0
Wells Fargo,0
Citigroup,0
Marathon Petroleum,0
Comcast,0
Anthem,0
Dell Technologies,0
DuPont de Nemours,0
State Farm Insurance,0
Johnson & Johnson,0
IBM,0
Target,0
Freddie Mac,0
United Parcel Service,0
Lowe's,0
Intel,0
MetLife,0
Procter & Gamble,0
United Technologies,0
FedEx,0
PepsiCo,0
Archer Daniels Midland,0
Prudential Financial,0
