0,"['United Technologies', 'Home Depot', 'Costco Wholesale', 'State Farm Insurance', 'Archer Daniels Midland', 'FedEx', 'Chevron', 'Kroger', 'Target', 'Amazon.com', 'Phillips 66', 'Wells Fargo', 'Comcast', 'Valero Energy', 'Verizon Communications', 'Prudential Financial', 'Freddie Mac', 'PepsiCo', 'Citigroup', 'Cardinal Health', 'AT&T', ""Lowe's"", 'Exxon Mobil', 'AmerisourceBergen', 'Alphabet', 'JPMorgan Chase', 'Marathon Petroleum', 'CVS Health', 'Apple', 'Walgreens Boots Alliance', 'Fannie Mae', 'United Parcel Service', 'Bank of America', 'MetLife', 'Dell Technologies', 'UnitedHealth Group', 'Microsoft', 'Walmart', 'Johnson & Johnson', 'Berkshire Hathaway', 'Boeing', 'IBM', 'McKesson', 'Procter & Gamble', 'Ford Motor', 'Anthem', 'General Motors', 'Intel', 'General Electric', 'DuPont de Nemours']"
1,"['Boeing', 'Marathon Petroleum', 'Citigroup', 'Microsoft', 'Cardinal Health', 'Freddie Mac', 'Amazon.com', 'Walgreens Boots Alliance', 'MetLife', 'AmerisourceBergen', 'Intel', 'Prudential Financial', 'Phillips 66', 'Kroger', 'Wells Fargo', ""Lowe's"", 'United Technologies', 'PepsiCo', 'Anthem', 'DuPont de Nemours', 'Walmart', 'Costco Wholesale', 'General Motors', 'McKesson', 'JPMorgan Chase', 'Procter & Gamble', 'Verizon Communications', 'Comcast', 'Bank of America', 'Ford Motor', 'Archer Daniels Midland', 'United Parcel Service', 'AT&T', 'Exxon Mobil', 'IBM', 'Dell Technologies', 'Chevron', 'General Electric', 'UnitedHealth Group', 'Home Depot', 'Valero Energy', 'Berkshire Hathaway', 'FedEx', 'Johnson & Johnson', 'CVS Health', 'Fannie Mae', 'Apple', 'State Farm Insurance', 'Alphabet', 'Target']"
2,"['Intel', 'FedEx', 'State Farm Insurance', 'Alphabet', 'Bank of America', 'Costco Wholesale', 'Anthem', 'Wells Fargo', 'Apple', 'Amazon.com', 'Ford Motor', 'United Technologies', 'Johnson & Johnson', 'Phillips 66', 'Verizon Communications', 'Prudential Financial', 'Walmart', 'Target', 'Valero Energy', 'General Electric', 'Archer Daniels Midland', 'Freddie Mac', 'Procter & Gamble', 'Walgreens Boots Alliance', 'JPMorgan Chase', 'McKesson', 'Exxon Mobil', 'PepsiCo', 'Berkshire Hathaway', 'AT&T', 'Fannie Mae', 'Kroger', 'Cardinal Health', 'MetLife', 'Microsoft', 'AmerisourceBergen', 'Comcast', 'CVS Health', 'Chevron', 'Boeing', 'Home Depot', 'IBM', 'Citigroup', 'UnitedHealth Group', 'General Motors', 'United Parcel Service', 'Marathon Petroleum', 'DuPont de Nemours', ""Lowe's"", 'Dell Technologies']"
3,"['Dell Technologies', 'Exxon Mobil', 'General Motors', 'State Farm Insurance', 'Microsoft', 'IBM', 'Chevron', 'DuPont de Nemours', 'UnitedHealth Group', 'Amazon.com', 'Berkshire Hathaway', 'United Technologies', 'Bank of America', 'McKesson', 'Costco Wholesale', 'AT&T', 'PepsiCo', 'Cardinal Health', 'United Parcel Service', 'Valero Energy', 'Target', 'JPMorgan Chase', 'Prudential Financial', 'Marathon Petroleum', 'Ford Motor', 'FedEx', 'Citigroup', 'General Electric', 'Fannie Mae', 'Freddie Mac', 'Wells Fargo', 'AmerisourceBergen', 'Boeing', 'Home Depot', 'Walmart', 'MetLife', 'Johnson & Johnson', 'Procter & Gamble', 'CVS Health', 'Verizon Communications', 'Intel', 'Apple', 'Kroger', 'Phillips 66', 'Archer Daniels Midland', 'Walgreens Boots Alliance', ""Lowe's"", 'Comcast', 'Anthem', 'Alphabet']"
4,"['Comcast', 'Bank of America', 'Freddie Mac', 'McKesson', 'Phillips 66', 'Johnson & Johnson', 'Walmart', 'Chevron', 'Citigroup', 'DuPont de Nemours', 'Valero Energy', 'Berkshire Hathaway', 'General Electric', 'Dell Technologies', 'Kroger', 'Cardinal Health', 'JPMorgan Chase', 'AmerisourceBergen', 'CVS Health', 'United Parcel Service', 'IBM', 'Anthem', 'Alphabet', 'Prudential Financial', 'General Motors', 'PepsiCo', 'Exxon Mobil', 'Archer Daniels Midland', 'Target', 'Boeing', 'Wells Fargo', 'Home Depot', 'Amazon.com', 'State Farm Insurance', 'FedEx', 'Costco Wholesale', 'Verizon Communications', 'Microsoft', 'United Technologies', 'Walgreens Boots Alliance', ""Lowe's"", 'Fannie Mae', 'Intel', 'Marathon Petroleum', 'Apple', 'Procter & Gamble', 'MetLife', 'UnitedHealth Group', 'AT&T', 'Ford Motor']"
5,"['Microsoft', 'Boeing', ""Lowe's"", 'Bank of America', 'Alphabet', 'AmerisourceBergen', 'IBM', 'Home Depot', 'JPMorgan Chase', 'Amazon.com', 'Archer Daniels Midland', 'Costco Wholesale', 'PepsiCo', 'Prudential Financial', 'Johnson & Johnson', 'UnitedHealth Group', 'AT&T', 'FedEx', 'Valero Energy', 'Walgreens Boots Alliance', 'CVS Health', 'McKesson', 'Wells Fargo', 'Apple', 'Target', 'Cardinal Health', 'Comcast', 'Exxon Mobil', 'Fannie Mae', 'Procter & Gamble', 'General Electric', 'Phillips 66', 'Verizon Communications', 'Ford Motor', 'Intel', 'Marathon Petroleum', 'Dell Technologies', 'Chevron', 'Freddie Mac', 'Berkshire Hathaway', 'State Farm Insurance', 'General Motors', 'Citigroup', 'United Parcel Service', 'DuPont de Nemours', 'United Technologies', 'Walmart', 'MetLife', 'Anthem', 'Kroger']"
6,"['State Farm Insurance', 'Kroger', 'PepsiCo', 'Wells Fargo', 'AmerisourceBergen', 'Target', 'Amazon.com', 'Berkshire Hathaway', 'Dell Technologies', 'Ford Motor', 'FedEx', 'Citigroup', 'JPMorgan Chase', 'Walgreens Boots Alliance', 'Bank of America', 'Cardinal Health', 'Procter & Gamble', 'Exxon Mobil', 'Archer Daniels Midland', 'Freddie Mac', 'Anthem', 'General Motors', 'McKesson', 'United Parcel Service', 'AT&T', 'Intel', 'United Technologies', 'Home Depot', 'Marathon Petroleum', 'Comcast', 'Prudential Financial', 'Chevron', 'Microsoft', 'CVS Health', 'Costco Wholesale', 'Walmart', 'Phillips 66', 'Verizon Communications', 'Boeing', 'General Electric', 'DuPont de Nemours', 'Johnson & Johnson', 'IBM', 'Fannie Mae', 'Valero Energy', 'MetLife', 'Alphabet', 'Apple', 'UnitedHealth Group', ""Lowe's""]"
7,"['United Parcel Service', ""Lowe's"", 'Costco Wholesale', 'FedEx', 'Target', 'Intel', 'Walmart', 'Johnson & Johnson', 'Apple', 'Ford Motor', 'Boeing', 'Berkshire Hathaway', 'Freddie Mac', 'AmerisourceBergen', 'DuPont de Nemours', 'AT&T', 'UnitedHealth Group', 'Home Depot', 'JPMorgan Chase', 'Archer Daniels Midland', 'Chevron', 'Kroger', 'State Farm Insurance', 'PepsiCo', 'Fannie Mae', 'Wells Fargo', 'General Electric', 'CVS Health', 'Valero Energy', 'Dell Technologies', 'Alphabet', 'Anthem', 'Citigroup', 'Microsoft', 'MetLife', 'General Motors', 'Cardinal Health', 'IBM', 'Exxon Mobil', 'Comcast', 'Walgreens Boots Alliance', 'Verizon Communications', 'Amazon.com', 'Bank of America', 'Procter & Gamble', 'United Technologies', 'Marathon Petroleum', 'McKesson', 'Prudential Financial', 'Phillips 66']"
8,"['JPMorgan Chase', 'Verizon Communications', 'Valero Energy', 'Kroger', 'Target', 'United Parcel Service', 'Exxon Mobil', 'AT&T', 'General Motors', 'AmerisourceBergen', 'Walgreens Boots Alliance', 'Phillips 66', 'PepsiCo', 'Dell Technologies', 'UnitedHealth Group', 'General Electric', 'CVS Health', ""Lowe's"", 'Prudential Financial', 'FedEx', 'Walmart', 'Boeing', 'Berkshire Hathaway', 'Johnson & Johnson', 'Cardinal Health', 'MetLife', 'Archer Daniels Midland', 'Costco Wholesale', 'Wells Fargo', 'Amazon.com', 'State Farm Insurance', 'Intel', 'Procter & Gamble', 'Alphabet', 'Microsoft', 'McKesson', 'Anthem', 'Bank of America', 'Marathon Petroleum', 'Apple', 'Freddie Mac', 'United Technologies', 'Ford Motor', 'Fannie Mae', 'Chevron', 'Home Depot', 'IBM', 'Citigroup', 'DuPont de Nemours', 'Comcast']"
9,"['Dell Technologies', 'IBM', 'CVS Health', 'Comcast', 'Kroger', 'Anthem', 'Target', ""Lowe's"", 'Procter & Gamble', 'Costco Wholesale', 'Wells Fargo', 'United Parcel Service', 'Exxon Mobil', 'Home Depot', 'Cardinal Health', 'McKesson', 'Microsoft', 'Walmart', 'Bank of America', 'Ford Motor', 'FedEx', 'Archer Daniels Midland', 'Valero Energy', 'DuPont de Nemours', 'Intel', 'United Technologies', 'Marathon Petroleum', 'Chevron', 'JPMorgan Chase', 'General Motors', 'Citigroup', 'Verizon Communications', 'AT&T', 'State Farm Insurance', 'PepsiCo', 'Freddie Mac', 'Johnson & Johnson', 'Boeing', 'Fannie Mae', 'MetLife', 'Prudential Financial', 'Berkshire Hathaway', 'Walgreens Boots Alliance', 'Apple', 'Alphabet', 'UnitedHealth Group', 'AmerisourceBergen', 'Amazon.com', 'General Electric', 'Phillips 66']"
