Walmart,14
Exxon Mobil,13
Apple,5
Berkshire Hathaway,6
Amazon.com,8
UnitedHealth Group,7
McKesson,7
CVS Health,5
AT&T,6
AmerisourceBergen,7
Chevron,7
Ford Motor,2
General Motors,3
Costco Wholesale,4
Alphabet,4
Cardinal Health,8
Walgreens Boots Alliance,7
JPMorgan Chase,8
Verizon Communications,7
Kroger,9
General Electric,3
Fannie Mae,12
Phillips 66,13
Valero Energy,3
Bank of America,2
Microsoft,7
Home Depot,5
Boeing,13
Wells Fargo,5
Citigroup,8
Marathon Petroleum,10
Comcast,6
Anthem,13
Dell Technologies,6
DuPont de Nemours,12
State Farm Insurance,9
Johnson & Johnson,14
IBM,5
Target,15
Freddie Mac,6
United Parcel Service,4
Lowe's,9
Intel,11
MetLife,8
Procter & Gamble,9
United Technologies,3
FedEx,15
PepsiCo,5
Archer Daniels Midland,6
Prudential Financial,11
Centene,11
Albertsons,6
Walt Disney,4
Sysco,4
HP,6
Humana,6
Facebook,11
Caterpillar,6
Energy Transfer,8
Lockheed Martin,8
Pfizer,4
Goldman Sachs Group,12
Morgan Stanley,7
Cisco Systems,4
Cigna,5
AIG,14
HCA Healthcare,15
American Airlines Group,16
Delta Air Lines,11
Charter Communications,14
New York Life Insurance,4
American Express,7
Nationwide,3
Best Buy,10
Liberty Mutual Insurance Group,9
Merck,11
Honeywell International,4
United Continental Holdings,7
TIAA,7
Tyson Foods,16
Oracle,10
Allstate,12
World Fuel Services,8
Massachusetts Mutual Life Insurance,11
TJX,9
ConocoPhillips,6
Deere,9
Tech Data,9
Enterprise Products Partners,14
Nike,8
Publix Super Markets,11
General Dynamics,6
Exelon,11
Plains GP Holdings,3
3M,4
AbbVie,3
CHS,10
Capital One Financial,6
Progressive,9
Coca-Cola,3
