Walmart,5
Exxon Mobil,9
Apple,15
Berkshire Hathaway,6
Amazon.com,11
UnitedHealth Group,3
McKesson,11
CVS Health,14
AT&T,4
AmerisourceBergen,17
Chevron,7
Ford Motor,7
General Motors,12
Costco Wholesale,4
Alphabet,11
Cardinal Health,8
Walgreens Boots Alliance,7
JPMorgan Chase,17
Verizon Communications,11
Kroger,6
General Electric,10
Fannie Mae,15
Phillips 66,8
Valero Energy,17
Bank of America,6
Microsoft,7
Home Depot,6
Boeing,9
Wells Fargo,14
Citigroup,5
Marathon Petroleum,12
Comcast,3
Anthem,9
Dell Technologies,9
DuPont de Nemours,5
State Farm Insurance,8
Johnson & Johnson,9
IBM,2
Target,10
Freddie Mac,3
United Parcel Service,8
Lowe's,4
Intel,12
MetLife,4
Procter & Gamble,6
United Technologies,6
FedEx,7
PepsiCo,5
Archer Daniels Midland,7
Prudential Financial,3
Centene,15
Albertsons,7
Walt Disney,4
Sysco,6
HP,5
Humana,12
Facebook,10
Caterpillar,11
Energy Transfer,10
Lockheed Martin,11
Pfizer,10
Goldman Sachs Group,11
Morgan Stanley,10
Cisco Systems,6
Cigna,13
AIG,7
HCA Healthcare,9
American Airlines Group,4
Delta Air Lines,11
Charter Communications,4
New York Life Insurance,9
American Express,4
Nationwide,9
Best Buy,5
Liberty Mutual Insurance Group,8
Merck,7
Honeywell International,15
United Continental Holdings,9
TIAA,11
Tyson Foods,7
Oracle,13
Allstate,7
World Fuel Services,7
Massachusetts Mutual Life Insurance,3
TJX,18
ConocoPhillips,11
Deere,15
Tech Data,4
Enterprise Products Partners,5
Nike,18
Publix Super Markets,7
General Dynamics,10
Exelon,6
Plains GP Holdings,13
3M,11
AbbVie,7
CHS,14
Capital One Financial,12
Progressive,15
Coca-Cola,11
