Walmart,96
Exxon Mobil,89
Apple,98
Berkshire Hathaway,95
Amazon.com,75
UnitedHealth Group,58
McKesson,59
CVS Health,97
AT&T,81
AmerisourceBergen,95
Chevron,67
Ford Motor,87
General Motors,83
Costco Wholesale,85
Alphabet,59
Cardinal Health,91
Walgreens Boots Alliance,86
JPMorgan Chase,91
Verizon Communications,90
Kroger,61
General Electric,73
Fannie Mae,88
Phillips 66,59
Valero Energy,90
Bank of America,97
Microsoft,89
Home Depot,74
Boeing,95
Wells Fargo,87
Citigroup,59
Marathon Petroleum,94
Comcast,62
Anthem,64
Dell Technologies,74
DuPont de Nemours,80
State Farm Insurance,61
Johnson & Johnson,68
IBM,50
Target,58
Freddie Mac,51
United Parcel Service,100
Lowe's,52
Intel,67
MetLife,59
Procter & Gamble,65
United Technologies,71
FedEx,80
PepsiCo,57
Archer Daniels Midland,88
Prudential Financial,76
Centene,96
Albertsons,98
Walt Disney,67
Sysco,81
HP,84
Humana,72
Facebook,65
Caterpillar,70
Energy Transfer,67
Lockheed Martin,77
Pfizer,100
Goldman Sachs Group,85
Morgan Stanley,78
Cisco Systems,77
Cigna,88
AIG,71
HCA Healthcare,80
American Airlines Group,90
Delta Air Lines,65
Charter Communications,59
New York Life Insurance,94
American Express,69
Nationwide,73
Best Buy,99
Liberty Mutual Insurance Group,97
Merck,65
Honeywell International,81
United Continental Holdings,99
TIAA,70
Tyson Foods,52
Oracle,91
Allstate,61
World Fuel Services,76
Massachusetts Mutual Life Insurance,62
TJX,95
ConocoPhillips,90
Deere,96
Tech Data,61
Enterprise Products Partners,87
Nike,96
Publix Super Markets,56
General Dynamics,61
Exelon,61
Plains GP Holdings,96
3M,71
AbbVie,89
CHS,89
Capital One Financial,74
Progressive,83
Coca-Cola,95
