Walmart,15
Exxon Mobil,9
Apple,6
Berkshire Hathaway,14
Amazon.com,6
UnitedHealth Group,10
McKesson,10
CVS Health,10
AT&T,9
AmerisourceBergen,7
Chevron,3
Ford Motor,10
General Motors,9
Costco Wholesale,10
Alphabet,12
Cardinal Health,13
Walgreens Boots Alliance,4
JPMorgan Chase,4
Verizon Communications,6
Kroger,15
General Electric,18
Fannie Mae,6
Phillips 66,9
Valero Energy,9
Bank of America,8
Microsoft,10
Home Depot,11
Boeing,3
Wells Fargo,11
Citigroup,8
Marathon Petroleum,7
Comcast,3
Anthem,14
Dell Technologies,3
DuPont de Nemours,9
State Farm Insurance,5
Johnson & Johnson,11
IBM,13
Target,5
Freddie Mac,8
United Parcel Service,7
Lowe's,7
Intel,11
MetLife,7
Procter & Gamble,6
United Technologies,5
FedEx,13
PepsiCo,7
Archer Daniels Midland,10
Prudential Financial,12
Centene,14
Albertsons,11
Walt Disney,5
Sysco,2
HP,3
Humana,3
Facebook,5
Caterpillar,9
Energy Transfer,12
Lockheed Martin,8
Pfizer,5
Goldman Sachs Group,11
Morgan Stanley,8
Cisco Systems,13
Cigna,7
AIG,14
HCA Healthcare,8
American Airlines Group,9
Delta Air Lines,6
Charter Communications,10
New York Life Insurance,8
American Express,12
Nationwide,7
Best Buy,6
Liberty Mutual Insurance Group,8
Merck,3
Honeywell International,15
United Continental Holdings,14
TIAA,4
Tyson Foods,9
Oracle,10
Allstate,13
World Fuel Services,10
Massachusetts Mutual Life Insurance,11
TJX,18
ConocoPhillips,15
Deere,8
Tech Data,9
Enterprise Products Partners,12
Nike,7
Publix Super Markets,5
General Dynamics,10
Exelon,9
Plains GP Holdings,9
3M,7
AbbVie,3
CHS,13
Capital One Financial,10
Progressive,15
Coca-Cola,5
