Walmart,74
Exxon Mobil,73
Apple,69
Berkshire Hathaway,56
Amazon.com,62
UnitedHealth Group,84
McKesson,53
CVS Health,94
AT&T,71
AmerisourceBergen,66
Chevron,58
Ford Motor,74
General Motors,69
Costco Wholesale,98
Alphabet,64
Cardinal Health,72
Walgreens Boots Alliance,84
JPMorgan Chase,67
Verizon Communications,66
Kroger,82
General Electric,79
Fannie Mae,95
Phillips 66,84
Valero Energy,55
Bank of America,86
Microsoft,91
Home Depot,73
Boeing,87
Wells Fargo,99
Citigroup,59
Marathon Petroleum,71
Comcast,86
Anthem,63
Dell Technologies,98
DuPont de Nemours,94
State Farm Insurance,53
Johnson & Johnson,54
IBM,57
Target,63
Freddie Mac,89
United Parcel Service,74
Lowe's,82
Intel,100
MetLife,53
Procter & Gamble,83
United Technologies,94
FedEx,57
PepsiCo,52
Archer Daniels Midland,89
Prudential Financial,90
Centene,55
Albertsons,84
Walt Disney,70
Sysco,88
HP,66
Humana,94
Facebook,81
Caterpillar,85
Energy Transfer,95
Lockheed Martin,86
Pfizer,95
Goldman Sachs Group,53
Morgan Stanley,51
Cisco Systems,94
Cigna,86
AIG,54
HCA Healthcare,90
American Airlines Group,97
Delta Air Lines,77
Charter Communications,87
New York Life Insurance,91
American Express,92
Nationwide,65
Best Buy,66
Liberty Mutual Insurance Group,100
Merck,70
Honeywell International,91
United Continental Holdings,78
TIAA,56
Tyson Foods,81
Oracle,100
Allstate,52
World Fuel Services,56
Massachusetts Mutual Life Insurance,51
TJX,52
ConocoPhillips,75
Deere,96
Tech Data,66
Enterprise Products Partners,62
Nike,97
Publix Super Markets,83
General Dynamics,73
Exelon,68
Plains GP Holdings,74
3M,51
AbbVie,88
CHS,89
Capital One Financial,73
Progressive,98
Coca-Cola,95
